experiment_type,parameter_value,run,hidden_layers,activation,optimizer,batch_size,epochs,training_time,train_mse,train_rmse,train_mae,test_mse,test_rmse,test_mae,train_accuracy,test_accuracy,train_loss,test_loss
activation,sigmoid,4,"[64, 32]",sigmoid,sgd,32,50,0.8791229724884033,0.8375,0.9151502608861564,0.8375,0.85,0.9219544457292888,0.85,0.1625,0.15,1.8005331758078718,1.8118080195202444
activation,sigmoid,5,"[64, 32]",sigmoid,sgd,32,50,0.8323712348937988,0.8395833333333333,0.916287800493564,0.8395833333333333,0.8083333333333333,0.8990735972840785,0.8083333333333333,0.16041666666666668,0.19166666666666668,1.821643812566015,1.7951274954887557
activation,sigmoid,6,"[64, 32]",sigmoid,sgd,32,50,0.8045907020568848,0.85,0.9219544457292888,0.85,0.8333333333333334,0.9128709291752769,0.8333333333333334,0.15,0.16666666666666666,1.8094009557898703,1.805735967626024
activation,sigmoid,7,"[64, 32]",sigmoid,sgd,32,50,0.8140928745269775,0.85,0.9219544457292888,0.85,0.8166666666666667,0.9036961141150639,0.8166666666666667,0.15,0.18333333333333332,1.8124828628391223,1.7941128180301353
activation,sigmoid,8,"[64, 32]",sigmoid,sgd,32,50,0.7949175834655762,0.8270833333333334,0.9094412203838869,0.8270833333333334,0.8583333333333334,0.9264628073124864,0.8583333333333334,0.17291666666666666,0.14166666666666666,1.8461338222435615,1.8786137921755435
activation,sigmoid,9,"[64, 32]",sigmoid,sgd,32,50,0.7785966396331787,0.8666666666666667,0.9309493362512627,0.8666666666666667,0.85,0.9219544457292888,0.85,0.13333333333333333,0.15,1.8387755628270233,1.8473110691520176
activation,sigmoid,10,"[64, 32]",sigmoid,sgd,32,50,0.874070405960083,0.8,0.8944271909999159,0.8,0.8416666666666667,0.917423929634859,0.8416666666666667,0.2,0.15833333333333333,1.8100450426017745,1.8081331025896246
activation,tanh,1,"[64, 32]",tanh,sgd,32,50,0.9035098552703857,0.6958333333333333,0.8341662504161466,0.6958333333333333,0.7166666666666667,0.8465616732800196,0.7166666666666667,0.30416666666666664,0.2833333333333333,1.719196191094103,1.7205407461316435
activation,tanh,2,"[64, 32]",tanh,sgd,32,50,0.8073968887329102,0.68125,0.8253787009609589,0.68125,0.6833333333333333,0.8266397845091497,0.6833333333333333,0.31875,0.31666666666666665,1.6888170335433572,1.689994153815968
activation,tanh,3,"[64, 32]",tanh,sgd,32,50,0.7740640640258789,0.6958333333333333,0.8341662504161466,0.6958333333333333,0.6833333333333333,0.8266397845091497,0.6833333333333333,0.30416666666666664,0.31666666666666665,1.7006258120888347,1.714096838048455
